WeekNumber,RefDateTime,Average Load_kw(Raw),Average KCQT_2018to2020_export_UPD_air_temp_F,Standard deviation KCQT_2018to2020_export_UPD_air_temp_F,Maximum KCQT_2018to2020_export_UPD_air_temp_F,Average Load_kw(Corrected),Average Average Daily Degree-day
"2017,52",01/01/2018,2433477.08,56.06,7.18,69.98,2251825.43,-8.94
"2018,01",01/07/2018,2635176.46,62.88,3.60,73.04,2569720.33,-2.12
"2018,02",01/14/2018,2590297.92,63.09,8.11,80.96,2377630.89,-1.91
"2018,03",01/21/2018,2704116.67,54.54,6.94,68.00,2502775.87,-10.46
"2018,04",01/28/2018,2671812.50,66.80,12.97,86.00,2163307.45,1.80
"2018,05",02/04/2018,2695983.54,62.45,8.74,80.96,2420559.51,-2.55
"2018,06",02/11/2018,2541611.04,58.12,5.06,71.06,2414037.25,-6.88
"2018,07",02/18/2018,2503092.50,55.20,5.28,69.08,2333170.90,-9.80
"2018,08",02/25/2018,2671471.67,55.61,6.81,68.00,2495247.62,-9.39
"2018,09",03/04/2018,2628429.17,55.63,8.30,71.06,2401002.30,-9.37
"2018,10",03/11/2018,2603825.74,61.51,4.05,71.06,2473817.87,-3.49
"2018,11",03/18/2018,2576096.25,57.81,7.60,73.94,2379965.23,-7.18
"2018,12",03/25/2018,2466057.50,73.04,0.00,73.04,1994242.58,8.04
"2018,13",04/01/2018,2419879.17,60.35,3.91,69.08,2346238.61,-4.65
"2018,14",04/08/2018,2668698.96,69.18,11.28,93.92,2204252.37,4.18
"2018,15",04/15/2018,2470544.17,60.59,6.22,77.00,2333132.58,-4.41
"2018,16",04/22/2018,2625931.46,64.32,7.61,78.08,2372080.27,-0.68
"2018,17",04/29/2018,2505514.58,60.81,3.85,68.00,2441993.42,-4.19
"2018,18",05/06/2018,2768333.54,65.61,7.00,80.06,2509617.75,0.61
"2018,19",05/13/2018,2454713.96,62.14,3.72,69.98,2395222.31,-2.86
"2018,20",05/20/2018,2509927.08,62.83,2.54,69.08,2476400.30,-2.17
"2018,21",05/27/2018,2426419.58,65.78,5.29,71.96,2259738.73,0.78
"2018,22",06/03/2018,2893000.00,67.79,5.88,78.08,2580732.13,2.79
"2018,23",06/10/2018,2962073.13,71.10,6.00,80.06,2490136.33,6.10
"2018,24",06/17/2018,2516752.29,65.07,3.09,71.06,2427067.84,0.07
"2018,25",06/24/2018,2826167.92,68.76,4.61,78.08,2538389.84,3.76
"2018,26",07/01/2018,2809185.63,69.97,4.46,78.08,2467240.84,4.97
"2018,27",07/08/2018,4270707.71,84.12,6.46,96.08,2556130.57,19.12
"2018,28",07/15/2018,3664217.29,75.61,5.34,86.00,2737255.17,10.61
"2018,29",07/22/2018,3815662.29,77.82,6.93,93.02,2684165.26,12.82
"2018,30",07/29/2018,3793108.75,77.48,6.68,91.94,2695207.34,12.48
"2018,31",08/05/2018,3844722.29,77.80,7.66,93.02,2713072.53,12.80
"2018,32",08/12/2018,3712252.29,75.72,5.97,87.08,2769305.28,10.72
"2018,33",08/19/2018,3656558.54,75.82,4.92,84.92,2708196.11,10.82
"2018,34",08/26/2018,3126914.17,71.91,4.44,80.96,2613774.78,6.91
"2018,35",09/02/2018,2876713.96,72.47,3.01,78.98,2363223.98,7.47
"2018,36",09/09/2018,3366129.79,75.10,5.90,87.98,2572523.92,10.10
"2018,37",09/16/2018,3037228.13,72.83,7.53,86.00,2440872.44,7.83
"2018,38",09/23/2018,2915678.33,69.22,4.52,78.98,2622083.64,4.22
"2018,39",09/30/2018,3075838.33,74.25,8.55,89.06,2369638.09,9.25
"2018,40",10/07/2018,2610282.92,68.49,4.22,75.92,2385883.91,3.49
"2018,41",10/14/2018,2505949.17,68.97,6.43,82.04,2215911.83,3.97
"2018,42",10/21/2018,2651815.42,68.36,4.84,80.06,2415098.19,3.36
"2018,43",10/28/2018,2581742.71,64.88,5.71,80.06,2402592.42,-0.12
"2018,44",11/04/2018,2592577.50,67.29,6.22,80.96,2343062.43,2.29
"2018,45",11/11/2018,2427321.04,61.61,9.62,77.00,2161473.54,-3.39
"2018,46",11/18/2018,2501897.29,62.64,5.90,73.04,2357953.79,-2.36
"2018,47",11/25/2018,2498668.96,63.95,6.61,77.00,2308502.50,-1.05
"2018,48",12/02/2018,2565592.71,57.96,4.79,68.00,2445006.11,-7.04
"2018,49",12/09/2018,2589609.38,60.71,5.08,71.06,2487024.62,-4.29
"2018,50",12/16/2018,2562600.21,58.64,6.10,71.06,2439366.91,-6.36
"2018,51",12/23/2018,2405771.04,57.40,4.95,66.02,2288750.74,-7.60
